participation_id,Time With Ball
b4498a98-9d30-4f18-8cdf-884774505d34,74.39999999999935
48e50e40-2bc0-4a20-93cf-4683bcd13bf7,35.09999999999991
3b7ea68d-8174-4061-94cc-84a07d488cfe,35.00000000000108
5f9839df-d91a-4ecd-b446-795329b174a5,26.10000000000025
019d8fa9-3cbd-42f2-bfcf-1bc676d13e0f,23.599999999999795
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,21.19999999999969
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,20.500000000000085
d56ca4de-1be4-499a-8242-b219e051f33c,19.29999999999993
320d9832-0fdf-400e-b4e1-0d2b56144cf9,18.600000000000374
0c7c551a-93df-416d-a892-81eccd50c6eb,16.09999999999991
8d6885e6-bfa9-4561-820c-f80eac8d7f62,4.199999999999818
33d4053e-34a9-4324-97a5-c17e8607d4c9,1.8000000000000682
455426a2-5604-4c3a-8b89-ed0519f8d77a,0.0
685d721f-fb27-4fb6-a327-6c8b420bf47f,0.0
b2d99dc2-6919-4c70-b381-6f89ca52048d,0.0
bff73444-2e99-46e8-9bef-3a0cece74bab,0.0
