participation_id,Total Distance
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,11997.300936124171
d56ca4de-1be4-499a-8242-b219e051f33c,11517.437232634522
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,11450.61744935511
b4498a98-9d30-4f18-8cdf-884774505d34,11015.236440009156
019d8fa9-3cbd-42f2-bfcf-1bc676d13e0f,9969.641080558757
0c7c551a-93df-416d-a892-81eccd50c6eb,9709.67149331527
320d9832-0fdf-400e-b4e1-0d2b56144cf9,8536.51342720032
5f9839df-d91a-4ecd-b446-795329b174a5,8217.648172856
48e50e40-2bc0-4a20-93cf-4683bcd13bf7,8118.400693167817
3b7ea68d-8174-4061-94cc-84a07d488cfe,7745.24628112139
bff73444-2e99-46e8-9bef-3a0cece74bab,4276.831954291952
33d4053e-34a9-4324-97a5-c17e8607d4c9,3664.188434408926
685d721f-fb27-4fb6-a327-6c8b420bf47f,3115.69433673338
455426a2-5604-4c3a-8b89-ed0519f8d77a,1598.4975339952584
b2d99dc2-6919-4c70-b381-6f89ca52048d,991.2719442035506
8d6885e6-bfa9-4561-820c-f80eac8d7f62,982.6290929296854
